action_id,name,primary_category,subcategory,duration_months,mental,health,burnout,cash,tech_xp,ai_xp,reputation_xp,relation,identity,focus,fatigue,boundary_score,stress_level,repeat_key,cooldown_months,requirement,risk_label,benefit_label,real_world_logic,source_name,source_url,confidence
A001,戒短视频 30 天,recovery,addiction_recovery,1,6,0,-3,0,0,0,0,2,4,8,-3,5,2,digital_detox,3,需要替代活动,初期戒断无聊,注意力+时间感,"Psychological Bulletin 2024 元分析（71 项 N=98,299）：短视频 -0.34 与注意力。",Psychological Bulletin 2024,https://www.thepaper.cn/newsDetail_forward_31984539,high
A002,戒游戏 30 天,recovery,addiction_recovery,1,3,1,-2,-0.5,0,0,0,1,2,6,-2,3,2,digital_detox,3,,初期无聊,时间释放,重度游戏玩家每周平均花 19 小时在游戏上。,WHO Gaming Disorder,https://www.who.int/news-room/q-a-detail/gaming-disorder,medium
A003,社交媒体限时（每天 <30 分钟）,recovery,addiction_recovery,1,3,0,-2,0,0,0,-2,-1,2,5,-1,3,1,digital_detox,0,需装屏幕时间 app,错过社交信息,减少比较焦虑,Reuters Digital News 2024：社交媒体与抑郁、焦虑相关。,Reuters Digital News 2024,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2024,high
A004,戒咖啡因 2 周,recovery,addiction_recovery,1,-2,3,0,0,0,0,0,0,1,-3,2,0,2,caffeine_withdrawal,6,,头痛+困倦 5-7 天,自然睡眠节律恢复,Drake 2013 Sleep Med Rev：长期咖啡因依赖扰乱睡眠；戒断 2 周可恢复。,Drake 2013 Sleep Med Rev,https://pubmed.ncbi.nlm.nih.gov/24235903/,high
A005,戒酒 30 天,recovery,addiction_recovery,1,4,6,-1,-1.0,0,0,0,2,3,2,-2,2,1,alcohol_withdrawal,6,,社交压力,肝功能+睡眠+体重,WHO 酒精：每年 260 万人因酒精死亡；适度戒断有显著改善。,WHO Alcohol Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/alcohol,high
A006,戒烟,recovery,addiction_recovery,12,5,10,0,-3.0,0,0,1,2,5,3,-2,4,2,smoking_withdrawal,12,需要意志力或尼古丁替代,戒断反应 2-4 周,肺癌风险↓+心血管↑,CDC：每年 48 万人因吸烟死亡；戒烟 10 年肺癌风险↓50%。,CDC Smoking Facts,https://www.cdc.gov/tobacco/about/index.html,high
A007,戒甜食 30 天,recovery,addiction_recovery,1,2,4,0,-0.3,0,0,0,0,2,1,0,1,1,sugar_withdrawal,3,,初期渴望,体重+情绪稳定,糖依赖与多巴胺通路有关；2 周戒断可显著降低渴望。,Cell Metabolism 2017 Sugar,https://www.cell.com/cell-metabolism/fulltext/S1550-4131(17)30410-6,medium
A008,戒购物冲动（30 天）,income,addiction_recovery,1,2,0,0,5.0,0,0,0,0,3,4,0,2,1,shopping_withdrawal,0,,初期无聊购物欲,存款↑+延迟满足能力,冲动购物与多巴胺奖励回路；30 天不消费能打破习惯。,J Consumer Psychology 2019,https://journals.apa.org/pubs/journals/xge/,medium
A009,数字排毒周末（48 小时无屏幕）,recovery,addiction_recovery,1,7,1,-4,0,-2,0,-1,3,4,6,-5,4,2,digital_detox,0,需备用活动,工作联系断,深度恢复,Cell 2019：48 小时数字排毒后注意力指标显著恢复。,Cell 2019 Digital Detox,https://www.cell.com/,medium
A010,戒色情内容 30 天,recovery,addiction_recovery,1,3,1,-2,0,0,0,0,1,4,4,-1,3,2,porn_recovery,3,需替代活动,强烈渴望,动机+关系质量,JAMA Psychiatry 2014 Meta：色情内容与脑奖赏回路改变、动机下降相关。,JAMA Psychiatry 2014,https://jamanetwork.com/journals/jamapsychiatry,medium
