action_id,name,primary_category,subcategory,duration_months,mental,health,burnout,cash,tech_xp,ai_xp,reputation_xp,relation,identity,focus,fatigue,boundary_score,stress_level,repeat_key,cooldown_months,requirement,risk_label,benefit_label,real_world_logic,source_name,source_url,confidence
N001,吃完整早餐,recovery,nutrition,1,3,4,-2,-0.5,0,0,0,0,1,2,-2,1,0,nutrition_breakfast,0,,需准备时间,全天血糖稳定,"Chen 2020 Clin Nutr Meta（N=220,000）：长期不吃早餐心血管风险↑21%。",Chen 2020 Clinical Nutrition,https://www.sciencedirect.com/science/article/abs/pii/S0261561420300406,high
N002,晚餐减半,recovery,nutrition,1,1,5,-1,-0.4,0,0,0,0,0,0,0,0,0,nutrition_dinner,0,,短期饥饿,体重控制+睡眠改善,晚餐过量与代谢综合征正相关；间歇性热量限制对程序员久坐人群尤其有益。,中国居民膳食指南 2022,https://www.cnsoc.org/,medium
N003,每周 1 次鱼/深海鱼,recovery,nutrition,1,2,6,0,-1.0,0,0,0,1,0,1,0,0,0,nutrition_fish,0,,成本略高,Omega-3 改善认知,Meta 分析：每周 ≥1 次深海鱼，抑郁风险↓17%（Stubbs 2018 Lancet Psychiatry）。,Stubbs 2018 Lancet Psychiatry,https://www.thelancet.com/journals/lanpsy/article/PIIS2215-0366(18)30291-X/fulltext,high
N004,戒含糖饮料,recovery,nutrition,3,2,7,0,-0.3,0,0,0,0,2,1,1,1,0,nutrition_no_sugar,0,,短期戒断反应,血糖稳定+皮肤改善,GBD 2017 Diet（Lancet）：含糖饮料与 2 型糖尿病 RR=1.43。,GBD 2017 Diet Lancet,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(19)30041-8/fulltext,high
N005,每天 8 杯水,recovery,nutrition,1,1,3,0,0,0,0,0,0,0,2,-2,0,0,hydration,0,,频繁上厕所,认知+疲劳缓解,脱水 2% 即可影响注意力；中国营养学会推荐 1500-1700ml/天。,中国营养学会膳食指南,https://www.cnsoc.org/,medium
N006,戒外卖（每周 ≥3 次）,recovery,nutrition,1,1,8,1,-0.5,0,0,0,1,2,0,0,1,0,nutrition_cook,0,需要基本厨具,需做饭时间,长期健康+省钱,外卖与超重/糖尿病正相关；自做餐可控油盐。,中国居民膳食指南,https://www.cnsoc.org/,medium
N007,复合维生素,recovery,nutrition,1,0,2,0,-0.3,0,0,0,0,0,0,0,0,0,nutrition_supplement,0,,性价比低,维生素 D 等补足,中国成年人维生素 D 缺乏率约 60%；久坐室内程序员尤甚。,中国营养学会,https://www.cnsoc.org/,medium
N008,下午 3 点坚果 30g,recovery,nutrition,1,1,3,-1,-0.4,0,0,0,0,0,3,-2,0,0,nutrition_nuts,0,,热量摄入,持续血糖+认知,坚果 Omega-3 + 蛋白质可改善下午专注低谷；过量则热量过剩。,Mediterranean Diet Meta,https://www.bmj.com/content/337/bmj.a1344,medium
N009,每周 1 次火锅/聚餐,relationship_safety,nutrition,1,5,-1,-2,-1.5,0,0,1,6,0,-1,1,-1,1,social_dining,0,需要朋友/家人,高油高盐,社交关系维护,WHO 社会关系对健康报告：每周 1 次聚餐可降低孤独感，对长期健康贡献等同戒烟。,WHO Social Determinants,https://www.who.int/publications/i/item/9789241565486,high
N010,间歇性禁食 16:8,recovery,nutrition,3,2,5,0,-0.2,0,0,0,0,3,1,0,0,1,intermittent_fasting,0,,初期饥饿感,代谢改善+体重控制,NEJM 2019：16:8 间歇性禁食对体重和代谢指标有改善；不适合所有人。,NEJM 2019 Time-Restricted Eating,https://www.nejm.org/doi/full/10.1056/NEJMra1905136,medium
N011,每月 1 次体检,recovery,nutrition,1,2,3,0,-2.0,0,0,0,0,1,0,0,1,1,health_checkup,0,,费用,早发现健康问题,中国卫健委：35+ 应每年体检 1 次；早发现癌症 5 年生存率 > 90%。,中国卫健委健康中国行动,http://www.nhc.gov.cn/,high
N012,戒夜宵,recovery,nutrition,1,0,4,-1,-0.3,0,0,0,0,1,1,-2,0,0,nutrition_no_late_snack,0,,初期饥饿,睡眠质量↑+体重↓,深夜进食扰乱生物钟，与代谢综合征正相关。,Cell Metabolism 2017,https://www.cell.com/cell-metabolism/fulltext/S1550-4131(17)30410-6,medium
N013,每天 1 份蔬菜水果,recovery,nutrition,1,1,5,0,-0.5,0,0,0,0,0,0,0,0,0,nutrition_fruit_veg,0,,成本,微量元素+纤维,WHO 推荐每天 ≥400g 蔬菜水果；中国居民摄入普遍不足。,WHO Diet Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/healthy-diet,high
N014,咖啡控制在 3 杯以内,recovery,nutrition,1,0,2,-1,-0.2,0,0,0,0,0,-2,-1,0,0,caffeine_limit,0,,下午可能困倦,改善睡眠+减少焦虑,EFSA 2015：400mg/天是安全阈值；睡前 6 小时摄入影响睡眠。,EFSA Caffeine Safety,https://www.efsa.europa.eu/en/efsajournal/pub/4102,high
