role,track,level,city_tier,company_type,min_salary_month,max_salary_month,typical_salary_month,bonus_months,promotion_months_min,promotion_months_max,required_skill_tags,risk_tags,notes,source_name,source_url,source_date,confidence
前端工程师,前端开发,初级(0-1年),一线,互联网中厂,8000,14000,11000,2,18,24,"HTML5,CSS3,JavaScript,Vue/React,Webpack,Git",35岁危机;技术迭代快;学历内卷,北京典型:初级前端 8-14K·13-15薪；京沪应届月薪 7-11K；新一线 5-9K；郑州初级 4-6K,BOSS直聘,https://www.zhipin.com/c101010100/?query=%E5%89%8D%E7%AB%AF%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88,2026-06-28,high
前端工程师,前端开发,中级(3-5年),一线,互联网中厂,18000,30000,23000,3,18,30,"Vue3/React,TypeScript,微前端,Webpack/Vite,Node.js,性能优化",技术栈更新快;35岁转型压力;大厂学历门槛,中级前端 18-30K·15-16薪；BOSS拉勾2025猎聘 1-3年 23-40K；中位数 2.3万；超半数大厂中级包 25-35K·15薪,BOSS直聘+猎聘+职友集,https://www.zhipin.com/job_detail/20ade5c89b8e0f121Xx73ty0FlBV.html,2026-06-28,high
前端工程师,前端开发,高级(5年+),一线,互联网大厂,35000,65000,45000,4,24,36,"架构设计,React/Vue源码,性能优化,工程化,可视化/3D,团队管理",35岁危机;大厂裁员;高强度加班,高级前端大厂包 35-65K·15-20薪；京东前端 30-60K·19薪；阿里前端架构 30-50K；字节 Web Infra 25-50K,BOSS直聘+拉勾+职友集,https://www.zhipin.com/job_detail/d78cc55fbba143d11XN_2NS1FFA~.html,2026-06-28,high
后端工程师,后端开发,初级(0-1年),一线,互联网中厂,9000,15000,12000,2,18,24,"Java/Python/Go,Spring/MyBatis,MySQL,Redis,Linux,Git",Java赛道卷;技术栈过时风险;互联网加班,初级后端 9-15K·13-15薪；应届北京后端 8-12K；新一线 5-10K；BOSS智联一致,BOSS直聘+猎聘+拉勾,https://www.liepin.com/city-bj/zphouduankaifagongchengshi/,2026-06-28,high
后端工程师,后端开发,中级(3-5年),一线,互联网中厂,22000,40000,28000,3,18,30,"Java/Go,Spring Cloud,MySQL/Redis/Kafka,微服务,DDD,Docker/K8s",技术深度要求高;Go语言转型;35岁危机,中级后端 22-40K·14-16薪；北京 3-5年 25-45K·14-15薪；猎聘后端平均 28K；拉勾Go 25-45K·14-15薪,BOSS直聘+猎聘+博客园,https://www.cnblogs.com/gccbuaa/p/18938371,2026-06-28,high
后端工程师,后端开发,高级(5年+),一线,互联网大厂,40000,70000,50000,4,24,36,"分布式架构,高并发,系统设计,Kubernetes,服务治理,团队管理",架构师方向内卷;大厂裁员;持续学习压力,高级后端 40-70K·15-16薪；猎聘北京后端 28-50K；职友集北京后端高级 15-50K；字节/腾讯/京东 30-60K·15-16薪,BOSS直聘+猎聘+职友集,https://www.liepin.com/job/1971788099.shtml,2026-06-28,high
算法工程师,算法研发,初级(0-1年),一线,互联网大厂,25000,40000,33000,3,18,30,"机器学习,深度学习,Python,PyTorch/TensorFlow,数据预处理,论文阅读",学历门槛高(985/211硕博);算法内卷;35岁危机,初级算法 25-40K·14-16薪；猎聘近9成算法岗年薪>20万；北京 3-5年 28-43万；猎聘新春算法88.53%年薪>20万,BOSS直聘+猎聘+脉脉,https://www.sohu.com/a/858748093,2026-06-28,high
算法工程师,算法研发,中级(3-5年),一线,互联网大厂,40000,65000,50000,4,18,30,"推荐/搜索/广告算法,深度学习,大规模分布式训练,业务落地,模型优化",内卷严重;业务压力大;持续学习,中级算法 40-65K·15-16薪；薪智北京 3-5年算法 28.4-42.9万；猎聘 3-5年 30-50万；字节算法 30-50K·15薪,BOSS直聘+猎聘+薪智报告,https://www.liepin.com/job/1971788099.shtml,2026-06-28,high
算法工程师,算法研发,高级(5年+),一线,互联网大厂/AI独角兽,70000,120000,90000,5,24,36,"大模型预训练,多模态,RLHF,分布式训练,顶会论文,团队管理",顶尖人才稀缺;技术迭代快;年龄压力,高级算法 70-120K·15-18薪；AI科学家年薪 127万；资深算法 100-200万；脉脉AI科学家 12.7万；字节3-1 142-210万,脉脉+猎聘+科锐国际,https://news.qq.com/rain/a/20250916A05HK500,2026-06-28,high
数据分析师,数据分析,初级(0-1年),一线,互联网中厂,10000,16000,13000,2,18,30,"SQL,Excel,Python,Tableau/PowerBI,统计学基础,A/B测试",业务理解要求高;工具替代风险;报表压力,初级数据分析师 10-16K·13-15薪；职友集 13.0K平均；BOSS北京数据分析师 8-15K；帆软报告 3-5年 20-30万,BOSS直聘+职友集+帆软,https://www.zhipin.com/c101010100-p100511/,2026-06-28,high
