action_id,name,primary_category,subcategory,duration_months,mental,health,burnout,cash,tech_xp,ai_xp,reputation_xp,relation,identity,focus,fatigue,boundary_score,stress_level,repeat_key,cooldown_months,requirement,risk_label,benefit_label,real_world_logic,source_name,source_url,confidence
R2001,刷短视频,recovery,digital_entertainment,1,-3,4,1,0,0,0,0,-2,0,-8,6,-10,1,digital_entertainment,0,无,打散专注,快速回血,"Psychological Bulletin 2024 元分析综合 71 项研究 98,299 名参与者：短视频使用与认知能力呈中等负相关 (r=-0.34)，与心理健康呈弱负相关 (r=-0.21)；专注力 r=-0.38，抑制控制 r=-0.41；高频反馈劫持前额叶执行控制。",APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,high
R2002,刷剧追剧,recovery,digital_entertainment,1,2,1,2,0,0,0,0,1,0,-4,5,-6,1,digital_entertainment,0,无,挤压时间,情绪缓冲,被动观看长剧集有故事沉浸感但挤占睡眠和社交窗口；连续 3 晚以上易形成内疚感和熬夜负债，触发第二天认知下降。,Cal Newport Digital Minimalism 2019,https://www.calnewport.com/books/deep-work/,medium
R2003,打游戏,recovery,digital_entertainment,1,1,0,2,0,1,0,0,-2,1,-3,5,-8,1,digital_entertainment,0,无,沉浸失控,心流恢复,适度游戏可进入心流抵消压力 (Csikszentmihalyi 心流理论)，但奖励回路与短视频同质；WHO 报告全球每年久坐相关医疗成本约 270 亿美元，长时间游戏显著拉低每日活动量。,WHO Physical Activity Fact Sheet 2024,https://www.who.int/news-room/fact-sheets/detail/physical-activity,medium
R2004,刷社交媒体被动信息流,recovery,digital_entertainment,1,-2,0,2,0,0,0,0,-1,0,-6,4,-5,1,digital_entertainment,0,无,注意力碎片化,零成本消遣,被动社交媒体使用与孤独感、抑郁得分升高显著相关 (APA 2025 Psychological Bulletin 元分析 r≈-0.27)；每替代 1 小时被动久坐为轻度活动可降痴呆风险约 7%/小时。,APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,medium
R2005,听播客/音频,recovery,digital_entertainment,1,2,0,-1,0,0,0,0,0,1,1,1,-2,1,digital_entertainment,0,耳机,轻度分心,认知与陪伴,Edison Research 2024 显示美国 12+ 人口 73% 听过播客，听众每周平均时长 6.5 小时；播客在通勤和家务场景对认知激励与孤独缓解有中等收益，且为纯听觉不抢占视觉通道。,Edison Research The Infinite Dial 2024,https://www.edisonresearch.com/infinite-dial-2024/,medium
R2006,玩主机游戏 60 分钟,recovery,digital_entertainment,0,1,0,-1,0,0,0,0,-1,1,2,1,-2,1,digital_entertainment,0,设备,屏幕时间,周末放松,适度游戏（<60 分钟/次）与主观幸福感短期提升相关；超过 2 小时/次则与睡眠延迟、注意力执行控制下降相关，APA 元分析强调成瘾性是关键负面因素而非使用时长本身。,APA Psychological Bulletin 2024 短视频-认知元分析,https://www.thepaper.cn/newsDetail_forward_31984539,medium
R2101,读纸质书 30 分钟,recovery,media_reading,1,3,1,1,-0.1,2,0,0,1,3,6,2,3,0,reading,0,识字,占精力,认知沉淀,WHO 健康生活方式综述：每日 30 分钟阅读与认知储备提升、痴呆风险下降相关 (Brayne 2019 Lancet 综述)；纸质阅读相比屏幕阅读，蓝光暴露更低、入睡延迟更短。,WHO Risk Reduction of Cognitive Decline Guidelines 2019,https://www.who.int/publications/i/item/9789241550543,medium
R2102,看高质量长视频/纪录片,recovery,media_reading,1,2,0,1,0,0,0,0,0,2,4,2,-1,0,reading,0,无,时间消耗,认知拓展,BBC/Netflix 2024 报告显示 30-90 分钟长纪录片观众参与度高于短视频；纪录片对议题理解深度和长时记忆保留显著优于同等时长新闻流。,Pew Research Center Video Viewing Habits 2023,https://www.pewresearch.org/,medium
R2103,读行业研究/分析报告,recovery,media_reading,1,2,0,1,0,3,1,1,0,3,7,3,2,0,reading,0,专业背景,深度耗时,技术雷达,Gartner/Forrester 等行业报告为从业者提供技术雷达；阅读 30 分钟/天与认知复杂度 (cognitive complexity) 提升相关，6 个月可见决策质量改善。,Gartner Top Strategic Technology Trends 2024,https://www.gartner.com/en/articles/top-technology-trends-2024,medium
R2104,订阅 1 份付费深度内容,recovery,media_reading,12,1,0,0,-0.3,2,0,0,0,3,4,1,0,0,reading,0,可支配预算,持续小额支出,信息密度保障,Reuters Institute Digital News Report 2024 显示付费新闻订阅用户在政治、健康、商业议题上的事实辨别准确率显著高于免费用户；付费墙后内容的来源可信度与编辑审核更高。,Reuters Institute Digital News Report 2024,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2024,medium
