ending_id,title,category,success_level,required_conditions,avoid_conditions,ending_text,value_message,real_world_reference
still_coding,还在写代码,tech,epic,tech>=85;health>=50;mental>=55;age>=40,burnout>=80;health<=30;mental<=20,"45 岁的某天早上,你还在写代码。不是没找到别的事做,是因为喜欢;不是团队离不开,是因为写得好。95 后、00 后叫你X 老师,嘴上喊得挺大,私下却抢着 review 你的 PR。AI 越来越强了,不少老程序员在焦虑,但你知道怎么用 AI——二十年的老系统你闭着眼都能定位是哪个角落的内存泄漏,新来的模型对那个模块连文档都没见过。同事开玩笑说,你是公司的活化石,但活化石不会被淘汰,只会被尊重。","还在写代码不是被淘汰,是选择留下的位置。","Linux 内核维护者平均年龄 50+,国内 Vue.js 作者尤雨溪、Python 之父 Guido 60+ 仍在 commit;GitHub 2024 报告显示 45+ 开发者贡献占比上升"
open_source_sage,开源之柱,tech,epic,tech>=90;reputation>=80;mental>=50;cash>=2000000,burnout>=85;health<=30,"38 岁那年凌晨一点,你刚提交完那个小项目,全球开发者一觉醒来给你点了 star。GitHub trending 头版、README 被翻译成十几种语言、issue 区里有人说谢谢、有人提 bug、有人写我毕业设计用的就是你的库""。你坐在工位上笑了一下",顺手把工资条塞进口袋——你的工资由公司发,"你的人生价值由 GitHub 计数。"""
ai_pioneer,AI 时代弄潮,tech,great,tech>=75;reputation>=60;mental>=50;age>=30,burnout>=80;mental<=25,"32 岁的你发现,焦虑追不上 AI,不如跟上 AI。你做了三件事:每周二、四写公司 AI 项目的代码,周末用同样的能力做开源工具,内部博客每两周一篇写给非技术同事看。HR 约你谈'优化'那天,你的博客阅读量刚破 10 万。HR 没说出口的是:'我们部门没人能替代你的判断。'你没把 AI 神化,也没把 AI 魔化——你只是比多数人早半步把它用到了日常里。","被 AI 取代的是害怕的人,留下来的,是会用的人。",Andrej Karpathy(Tesla AI 总监后独立研究)、Hugging Face 团队、Sutton & Barto《强化学习》作者 Andrew 等;国内大模型团队 30-35 岁研究员为主力
late_bloomer,大器晚成,tech,good,tech>=70;mental>=55;health>=50;age>=35;relationship>=50,burnout>=85;health<=30,"你 30 岁才写第一行代码。35 岁才第一次独立交付一个中型项目,被比你小 10 岁的 leader 指着鼻子说'这段要重写'。40 岁那年你才意识到,你学的不是某门语言,是你解决问题的思路——这份能力,在哪个公司都能立住。今天你的下属里有 95 后,有人比你更早拿到期权,你没焦虑,因为你知道你卖的不是工时,而是别人不愿意花时间啃的那块硬骨头。","起步晚不是落后,赛道长才是你的优势。","王坚(阿里云创始人,1968 年生,浙大心理学系主任,32 岁才开始转计算机,42 岁主导阿里云);张小龙 33 岁才从华中科大硕士毕业,37 岁做出 Foxmail,41 岁做出微信;Linus 21 岁写出 Linux 是天才,但多数技术领袖在 35+ 才到顶峰"
startup_phoenix,创业重生,capital,epic,cash>=5000000;reputation>=70;mental>=40;tech>=70,burnout>=85;health<=30;company_failed>=2,"你创业过两次,前一次被合伙人坑,后一次被资本撤回。第二次失败的早上,你在空荡荡的办公室坐了一晚,没哭、没喝酒,把工牌挂回前台的墙上,开始给所有前同事发消息:'我这周有空,聊聊?'三个月后,你和一位老同事重新搭起小团队,这次没融一分钱,先赚钱。这次你学到的最重要的事不是'如何成功',而是'如何输得起'。",输得起比赢得多重要。,硅谷平均第一次创业成功率 18%-20%;国内连续创业者(王兴、王小川)都是失败后沉淀的;Figma、Airbnb 创始人都经历过濒死时刻
modest_wealth,小康之家,capital,good,cash>=3000000;health>=60;mental>=50;age>=35,burnout>=80;health<=35,"40 岁,你的房贷还完了,父母的身体尚可,孩子在普通公立学校读书,周末你们会去一次郊外的公园。同事眼里你'没什么大出息',但你知道,你银行卡里的数字、你和父母通话的语气、你孩子的笑——这三样东西都稳。某次同学聚会有个 CEO 当众炫耀上市,你没接话,低头笑了一下。不是因为嫉妒,是因为你想起 32 岁那年父亲摔伤住院,你因为没存够钱差点没敢请假。","稳稳的'够用',比'看起来很行'贵重。","FIRE 运动(Financial Independence, Retire Early)在国内工程师群体的实践;华为、字节等大厂 35+ 员工回流二三线真实案例"
steady_investor,稳健投资者,capital,good,cash>=2000000;mental>=55;health>=55;age>=33,burnout>=80;health<=30;investment_failed>=3,"36 岁,你账户里的钱不算最多,但每一年都是正收益。你不炒币、不追热点、不跟 KOL 跑短线——你只做无聊的事:定投指数、读年报、不在场的时候就关掉行情软件。朋友笑你'错过了几次暴富',你笑笑不说话。35 岁那年你用闲钱投了一个老同事的小项目,亏了 30%;3 年后那个项目被你推荐的人接盘,反而小赚一笔。你不指望投资改变命运,投资只是让你晚上睡得着。",时间是你最稀缺、也最便宜的资产。,巴菲特长期持有复利;指数基金之父 John Bogle;国内工程师转岗投资人/天使的真实路径
balanced_senior,稳定高级工程师,balance,good,tech>=70;health>=55;mental>=50;cash>=1000000,burnout>=80;health<=30,"你没成为 CTO,也没成为网红,但你保住了选择权。35 岁之后你没去创业、没去拼 996、没去追风口;你在二三线城市一家稳定公司做高级工程师,年薪够还房贷、够孩子学费、够每年一次出国旅游。每个周末你都关机一天,前同事周末发来加班截图,你会心一笑,把手机放下,带女儿去湖边喂鸽子。你换的不只是城市,是那种'算法跑得比我更累'的人生。","稳定不是失败,是另一种意义上的'赢'。",成都/南京/西安等二线城市 IT 行业迁徙路径;微软、IBM 在二三线城市的研发分部提供大量稳定岗位;Stack Overflow 2024 调研显示 35+ 开发者稳定性高于年轻群体
freelance_life,自由职业者,balance,good,tech>=65;reputation>=55;cash>=800000;mental>=55;health>=55,burnout>=75;health<=30;mental<=25,"38 岁那年你离开最后一间大公司,不是因为被裁,是你主动提的。你没接受下家的 offer,而是开始接单。头一年你慌得整夜睡不着,第二年你学会了选客户;第三年起,你开始拒单——不是所有钱都值得赚。今天你一年只接 6 个项目,带着老婆孩子去云南住了一个月写代码,远程交付,客户那边比坐在他们隔壁办公室的同事还准时。你卖的不是'时间',是'判断'。","自由不是没有 KPI,是 KPI 由你写。",Basecamp 创始人 DHH 提出的 Shape Up 模式;海外独立开发者 Marc Lou(月入 6.5 万美元)、Pieter Levels(nomadlist)、Pieter Levels 的 12 个产品矩阵;国内独立开发者社区少数派、王禹效等
family_first,把家照顾好,balance,good,relationship>=70;health>=55;mental>=55;age>=35,burnout>=80;relationship<=20;health<=30,"你没成为首席架构师,也没去上市敲钟——但父亲住院那年,你在 ICU 门口守了 7 天;孩子高考那年,你陪他填完所有志愿;妻子换工作那段日子,你每个月少赚一万也没让她不安心。班主任给孩子写的学期评语里有一句:'你爸爸是班上唯一一个每学期都来开家长会的家长。'你 45 岁那年的某天突然发现,你没写多少代码,但你把一屋子的人照顾得很好。代码有 deadline,家人没有;但家人,才是那个真正会等你的人。",陪伴本身就是一种成就。,2024 中国家庭关系研究报告;《何以为家》《小偷家族》等关注家庭价值的作品;日本'ikigai'理念中家庭权重
craft_in_industry,行业匠人,balance,good,tech>=65;reputation>=55;relationship>=60;age>=35,burnout>=80;health<=30,"你 35 岁那年在杭州一家传统制造业公司做数字化转型,周围同事都是 50+ 的老师傅,刚去时他们叫你'小程序员',两年后他们叫你'X 工'。你懂他们车间里的油污和图纸,他们懂你画的时序图和接口文档。你没去做'最火'的方向,也没跳到所谓'风口'行业,你在一个不起眼的行业里成了一个有名字的人——做这一行的人都知道,搞不定数字化的时候找你。","行业 + 技术的复合,比纯互联网更稳。",宁波、佛山、东莞传统制造业数字化转型中'懂行 + 懂技术'人才极度稀缺;德国'Meister'(师傅)文化;日本制造业 IT 子行业稳健路径
