"id","text","section_code","section_name","source_version","source_scope","kind","tone","rarity","char_count","skill","mental","money","ai"
"1","需求又改版了","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","6","2","-8","0","0"
"2","这不是 bug，这是新需求","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"3","产品说只改一点点","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"4","小改一下，半天没了","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"5","原型图刚发，旧方案作废","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"6","这个按钮为什么不能再显眼一点","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","14","2","-8","0","0"
"7","昨天确认的，今天推翻了","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"8","你以为在开发，其实在追需求","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"9","需求没变，只是理解变了","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"10","产品说逻辑很简单","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"11","一个弹窗，背后四张表","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"12","文案只改两个字，联调多两天","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"13","这个需求要兼容历史版本","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"14","老用户不能受影响，新逻辑必须上线","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","16","2","-8","0","0"
"15","先做出来，我们再想清楚","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"16","需求写得像愿望清单","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"17","你做的是功能，不是终稿","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"18","看起来很小，实际动全链路","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"19","用户故事很短，工时很长","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"20","需求评审像许愿池","A","需求反复","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"21","工位灯还亮着，需求也亮着","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"22","今晚又是自愿加班","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","8","2","-8","0","0"
"23","下班时间到了，活还没到头","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"24","大家都没走，你也不好意思走","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","13","2","-8","0","0"
"25","键盘敲得响，心里发慌","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","10","2","-8","0","0"
"26","这周第六次晚饭外卖","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
"27","电脑合上了，脑子没关机","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","11","2","-8","0","0"
"28","不是你效率低，是活真的多","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","12","2","-8","0","0"
"29","站会结束，夜班开始","B","加班与工位文化","2026-06-17","work-core","event","resonant","uncommon","9","2","-8","0","0"
