factor,condition,short_term_effect,long_term_effect,game_rule_suggestion,affected_stats,source_name,source_url,confidence
睡眠不足,连续7天每晚<6小时,日间嗜睡、注意力与反应速度显著下降,心血管事件和全因死亡风险分别升高约1.8倍和2.4倍,when sleep_debt_days>=7 and avg_sleep<6: mental-=2; focus-=3; burnout+=2 per day,mental;focus;burnout,SLEEP 2017 / 中国循环杂志编译,http://care.39.net/085/16/432267.html,high
睡眠不足,长期每晚<6小时(>=1年),日间疲劳积累、情绪不稳,心血管疾病患病风险增加约48%、全因死亡风险呈J型曲线(7h最低),when avg_sleep<6 for 30 consecutive days: health-=1 per week; lifespan-=0.5,health;lifespan;mental,匹兹堡大学医学院研究发表于《Sleep》,http://www.chinanews.com/hr/2011/02-11/2835941.shtml,high
长期熬夜(凌晨1点后睡),连续30天凌晨1点后入睡,褪黑素分泌受抑、炎症水平升高,心血管病发病风险升高5倍以上;高学历人群认知衰退显著,when bed_time>01:00 for 30 days: health-=2; mental-=1; focus-=2,health;mental;focus,2024中国居民睡眠健康白皮书 + J Prev Alzheimers Dis 2025,https://www.sohu.com/a/767066237_121644338,high
长期熬夜(凌晨1点后睡),长期晚睡(夜型人)持续>=1年,慢性炎症累积、免疫力下降,糖尿病、帕金森病等慢性病风险升高;全因死亡风险比早起者高10%,when bed_time>01:00 for 365 days: lifespan-=1.0; immunity-=2,lifespan;immunity,国际时间生物学 UK Biobank 50万人研究,https://www.thepaper.cn/newsDetail_forward_31984539,high
久坐(每天>8小时坐着),每天连续坐着>8小时,腰围增加、HDL降低、血压升高,每替代1小时久坐为MVPA可降腰围约3cm;长期升高心血管事件风险,when sitting_hours>8: cardio+=1 per day; when sitting_hours>10: cardio+=2,cardio;metabolism,WHO 2020 Guidelines on Physical Activity and Sedentary Behaviour (BJSM),https://bjsm.bmj.com/content/54/24/1451,high
久坐(每天>8小时坐着),长期久坐>8小时/天持续数年,腰背颈慢性疼痛、胰岛素敏感性下降,全因死亡风险升高约20%、心血管事件与癌症死亡风险显著增加,when sitting_hours>8 for 90 days: health-=1; cardio+=3,health;cardio,《柳叶刀》久坐与全因死亡系统综述 (Patterson 2018 EJE),https://bjsm.bmj.com/content/54/24/1451,high
缺乏运动(每周<2次),每周中等强度运动<2次(或<150分钟),心肺耐力下降、焦虑与抑郁评分升高,WHO建议成人每周150-300分钟中等强度活动;长期不足升高慢病风险,when weekly_exercise<2: stamina-=2; mental+=1; immunity-=1,stamina;mental;immunity,WHO 2020 Guidelines on Physical Activity and Sedentary Behaviour,https://bjsm.bmj.com/content/54/24/1451,high
过度运动(每周>6次高强度),连续>6次/周高强度运动且休息不足,慢性疲劳、运动表现下降、静息心率升高,过度训练综合征:受伤风险升高、免疫抑制、激素紊乱,when weekly_high_intensity>6 without rest: injury_risk+=15%; burnout+=3; immunity-=2,injury_risk;burnout;immunity,ACSM 过度训练综合征立场声明 + WHO 2020,https://bjsm.bmj.com/content/54/24/1451,medium
缺乏社交支持,长期缺少深度社交(亲密关系<2个),孤独感、压力感持续升高,全因死亡风险升高约32%(HR 1.32);心血管死亡风险升高34%,when close_friends<2 for 180 days: mental-=2; lifespan-=0.5,mental;lifespan,Wang et al. 2023 Nature Human Behaviour 90项队列Meta分析,https://www.nature.com/articles/s41562-023-01617-6,high
缺乏心理咨询,持续>6个月未寻求专业心理支持且压力>70,情绪调节能力下降、孤立感增强,抑郁/焦虑进展为临床障碍风险升高;慢病共病风险升高,when stress>70 and no_therapy for 180 days: mental-=3; burnout+=2,mental;burnout,APA Stress Effects on Health + 中国心理学会心理健康蓝皮书2024,https://www.sohu.com/a/794769902_121687,medium
